,ds,y
603,2024-08-31,6808
604,2024-09-01,4580
605,2024-09-02,12318
606,2024-09-03,11086
607,2024-09-04,14445
608,2024-09-05,12761
609,2024-09-06,10216
610,2024-09-07,7354
611,2024-09-08,11419
612,2024-09-09,10166
613,2024-09-10,10388
614,2024-09-11,10416
615,2024-09-12,9679
616,2024-09-13,12057
617,2024-09-14,13669
618,2024-09-15,10738
619,2024-09-16,13591
620,2024-09-17,12701
621,2024-09-18,15140
622,2024-09-19,14410
623,2024-09-20,11751
624,2024-09-21,9069
625,2024-09-22,9716
626,2024-09-23,7800
627,2024-09-24,7281
628,2024-09-25,8705
629,2024-09-26,7464
630,2024-09-27,8658
631,2024-09-28,8640
632,2024-09-29,11573
633,2024-09-30,11397
634,2024-10-01,6113
635,2024-10-02,12281
636,2024-10-03,11191
637,2024-10-04,14552
638,2024-10-05,12824
639,2024-10-06,11947
640,2024-10-07,13625
641,2024-10-08,8718
642,2024-10-09,10649
643,2024-10-10,10289
644,2024-10-11,11876
645,2024-10-12,8673
646,2024-10-13,8079
647,2024-10-14,5470
648,2024-10-15,2396
649,2024-10-16,3970
650,2024-10-17,7924
651,2024-10-18,11585
652,2024-10-19,4943
653,2024-10-20,8546
654,2024-10-21,10534
655,2024-10-22,9914
656,2024-10-23,9456
657,2024-10-24,5018
658,2024-10-25,7879
659,2024-10-26,9501
660,2024-10-27,8334
661,2024-10-28,11861
662,2024-10-29,11579
663,2024-10-30,7521
664,2024-10-31,8096
665,2024-11-01,9359
666,2024-11-02,12404
667,2024-11-03,11886
668,2024-11-04,14586
669,2024-11-05,11909
670,2024-11-06,11079
671,2024-11-07,9400
672,2024-11-08,11134
673,2024-11-09,9355
674,2024-11-10,9516
675,2024-11-11,11025
676,2024-11-12,7523
677,2024-11-13,5280
678,2024-11-14,4672
679,2024-11-15,6872
680,2024-11-16,2722
681,2024-11-17,8665
682,2024-11-18,9178
683,2024-11-19,9606
684,2024-11-20,8677
685,2024-11-21,8028
686,2024-11-22,11330
687,2024-11-23,7808
